id,loaded_distance,appt_date,appt_time,client_id,driver_id,origin_lat,origin_lng,destination_lat,destination_lng,program_name
506135,23.3 mi,2021-10-09,17:00,15799,75,44.33,-75.45,44.59,-75.18,""
506136,14.8 mi,2021-10-09,11:00,7023,161,43.88,-75.43,43.97,-75.62,TLS
506137,22.7 mi,2021-10-09,19:00,15797,75,44.59,-75.18,44.34,-75.46,""
506138,23.3 mi,2021-10-09,19:00,15798,75,44.59,-75.18,44.33,-75.45,""
506139,23.3 mi,2021-10-09,19:00,15799,75,44.59,-75.18,44.33,-75.45,""
506140,16.8 mi,2021-10-09,07:45,10494,768,42.8,-78.8,42.61,-78.81,EMCD
506141,15.6 mi,2021-10-09,11:30,7023,161,43.97,-75.62,43.88,-75.43,TLS
506142,10.3 mi,2021-10-09,10:15,486,71,44.02,-75.76,43.95,-75.91,STP
506143,10.3 mi,2021-10-09,10:30,486,71,43.95,-75.91,44.02,-75.76,STP
506144,3.1 mi,2021-10-09,09:45,14621,66,43.98,-75.92,43.95,-75.92,MCD
506145,34.9 mi,2021-10-09,07:15,94,161,43.98,-75.92,43.75,-75.37,LMCD
506146,3.2 mi,2021-10-09,11:45,1887,65,43.78,-75.44,43.79,-75.49,LEWIS
506147,3.2 mi,2021-10-09,12:45,1887,65,43.79,-75.49,43.78,-75.44,LEWIS
506148,8.1 mi,2021-10-09,09:15,7766,938,43.98,-75.92,44.01,-76.05,MCD
506149,1.8 mi,2021-10-09,11:00,14916,938,43.98,-75.92,43.98,-75.9,MCD
506150,11.6 mi,2021-10-09,11:00,15136,816,43.98,-75.92,44.12,-75.97,MCD
506151,15.4 mi,2021-10-09,11:15,4650,31,43.98,-75.92,44.02,-75.66,MCD
506152,30.5 mi,2021-10-09,16:00,15597,816,44.93,-74.89,44.55,-74.96,""
506153,36.1 mi,2021-10-09,12:00,15581,613,43.98,-75.92,44.33,-75.46,""
506154,46.6 mi,2021-10-09,10:15,298,157,44.69,-75.5,44.98,-74.73,STLMCD
506155,31.6 mi,2021-10-09,10:15,9564,157,44.69,-75.5,44.68,-74.97,STLMCD
506156,30.8 mi,2021-10-09,10:00,6528,157,44.69,-75.5,44.65,-75.0,STLAW
506157,32.8 mi,2021-10-09,15:00,13616,157,44.93,-74.88,44.93,-74.29,""
506158,32.8 mi,2021-10-09,15:00,13615,157,44.93,-74.88,44.93,-74.29,""
506159,8.8 mi,2021-10-09,07:30,1832,938,43.98,-75.92,44.04,-75.9,MCD
506160,47.1 mi,2021-10-09,15:15,11898,309,44.69,-75.5,44.15,-75.32,SOTP
506161,13.2 mi,2021-10-09,10:30,15274,37,44.97,-74.65,44.94,-74.89,STLMCD
506162,15.9 mi,2021-10-09,13:00,11009,226,44.92,-74.89,44.74,-74.78,STLAW
506163,45.9 mi,2021-10-09,11:15,15661,163,43.98,-75.92,43.87,-75.18,LMCD
506164,115 mi,2021-10-09,10:15,7235,385,44.69,-75.5,43.3,-76.24,STLAW
506165,13.4 mi,2021-10-09,21:00,5142,976,44.53,-75.59,44.69,-75.5,FMLM
506166,54.9 mi,2021-10-09,15:10,12284,815,43.95,-75.91,44.2,-75.06,STLAW
506167,31.2 mi,2021-10-09,14:45,10760,154,44.69,-75.5,44.75,-75.0,STLAW
506168,1.6 mi,2021-10-09,13:45,515,564,44.92,-74.89,44.94,-74.89,STLAW
506169,3.2 mi,2021-10-09,13:15,15314,564,44.95,-74.84,44.94,-74.88,""
506170,50.6 mi,2021-10-09,10:45,753,49,43.98,-75.92,44.61,-75.59,STLMCD
506171,2.0 mi,2021-10-09,16:10,1867,976,44.67,-74.99,44.65,-74.97,FMLM
506172,10.5 mi,2021-10-09,13:15,3928,37,44.92,-74.89,44.8,-74.98,STLAW
506173,28.3 mi,2021-10-09,12:30,2876,976,44.34,-75.47,44.69,-75.48,STLMCD
506174,39.1 mi,2021-10-10,12:00,14420,988,44.97,-74.85,44.7,-75.48,""
506175,9.5 mi,2021-10-10,13:00,5470,976,44.6,-75.17,44.63,-75.31,""
506176,52.1 mi,2021-10-10,12:00,12452,246,44.34,-75.46,44.92,-74.89,""
506177,38.9 mi,2021-10-10,10:00,15581,385,44.33,-75.46,43.98,-75.92,""
506178,38.9 mi,2021-10-10,10:00,15582,385,44.33,-75.46,43.98,-75.92,""
506179,27.7 mi,2021-10-10,14:00,14232,59,44.64,-75.08,44.93,-74.89,""
506180,41.5 mi,2021-10-10,17:00,12540,988,44.67,-75.0,44.16,-75.04,""
506181,78.2 mi,2021-10-10,18:00,11891,16,43.98,-75.92,44.68,-74.83,""
506182,195 mi,2021-10-10,14:00,14231,59,42.82,-76.49,44.93,-74.89,""
506183,195 mi,2021-10-10,14:00,14279,59,42.82,-76.49,44.93,-74.89,""
506184,13.4 mi,2021-10-10,13:30,5142,52,44.69,-75.5,44.53,-75.59,FMLM
506185,11.7 mi,2021-10-10,04:00,1171,976,44.75,-75.13,44.6,-75.16,FMLM
506186,16.3 mi,2021-10-10,10:00,13567,768,42.61,-78.74,42.8,-78.8,EMCD
